Date,Close
2018-01-01,100.5
2018-01-02,100.36
2018-01-03,101.01
2018-01-04,102.53
2018-01-05,102.3
2018-01-08,102.06
2018-01-09,103.64
2018-01-10,104.41
2018-01-11,103.94
2018-01-12,104.48
2018-01-15,104.02
2018-01-16,103.55
2018-01-17,103.79
2018-01-18,101.88
2018-01-19,100.16
2018-01-22,99.59
2018-01-23,98.58
2018-01-24,98.89
2018-01-25,97.99
2018-01-26,96.57
2018-01-29,98.04
2018-01-30,97.81
2018-01-31,97.88
2018-02-01,96.46
2018-02-02,95.91
2018-02-05,96.02
2018-02-06,94.87
2018-02-07,95.25
2018-02-08,94.65
2018-02-09,94.36
2018-02-12,93.75
2018-02-13,95.61
2018-02-14,95.59
2018-02-15,94.53
2018-02-16,95.36
2018-02-19,94.14
2018-02-20,94.35
2018-02-21,92.39
2018-02-22,91.06
2018-02-23,91.25
2018-02-26,91.99
2018-02-27,92.16
2018-02-28,92.05
2018-03-01,91.75
2018-03-02,90.27
2018-03-05,89.55
2018-03-06,89.09
2018-03-07,90.15
2018-03-08,90.49
2018-03-09,88.73
2018-03-12,89.05
2018-03-13,88.67
2018-03-14,87.99
2018-03-15,88.6
2018-03-16,89.63
2018-03-19,90.56
2018-03-20,89.72
2018-03-21,89.41
2018-03-22,89.75
2018-03-23,90.72
2018-03-26,90.24
2018-03-27,90.06
2018-03-28,88.95
2018-03-29,87.75
2018-03-30,88.57
2018-04-02,89.92
2018-04-03,89.85
2018-04-04,90.85
2018-04-05,91.22
2018-04-06,90.57
2018-04-09,90.93
2018-04-10,92.47
2018-04-11,92.43
2018-04-12,94.0
2018-04-13,91.38
2018-04-16,92.2
2018-04-17,92.29
2018-04-18,91.99
2018-04-19,92.08
2018-04-20,90.09
2018-04-23,89.87
2018-04-24,90.23
2018-04-25,91.71
2018-04-26,91.19
2018-04-27,90.38
2018-04-30,89.88
2018-05-01,90.8
2018-05-02,91.12
2018-05-03,90.59
2018-05-04,91.11
2018-05-07,91.2
2018-05-08,92.17
2018-05-09,91.47
2018-05-10,91.14
2018-05-11,90.75
2018-05-14,89.29
2018-05-15,89.58
2018-05-16,89.84
2018-05-17,89.85
2018-05-18,89.62
2018-05-21,88.2
2018-05-22,87.78
2018-05-23,87.44
2018-05-24,86.63
2018-05-25,86.47
2018-05-28,86.88
2018-05-29,88.76
2018-05-30,88.94
2018-05-31,89.2
2018-06-01,89.12
2018-06-04,87.2
2018-06-05,87.18
2018-06-06,87.24
2018-06-07,89.7
2018-06-08,89.51
2018-06-11,89.81
2018-06-12,89.77
2018-06-13,88.6
2018-06-14,89.75
2018-06-15,90.5
2018-06-18,91.29
2018-06-19,90.38
2018-06-20,91.78
2018-06-21,90.38
2018-06-22,90.97
2018-06-25,93.16
2018-06-26,92.17
2018-06-27,91.6
2018-06-28,91.7
2018-06-29,91.2
2018-07-02,89.65
2018-07-03,89.72
2018-07-04,88.65
2018-07-05,89.13
2018-07-06,88.21
